StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-146,-28,32,64,189.2546674,937,419.4702688,306.4629335,433,326,1
-168,69,96,192,35.60483958,735,537.4002155,462.2010693,559,506,1
-108,147,16,256,293.7849625,1151,642.278608,230.6357603,632,250,0
-134,-124,32,128,310.8955069,1162,588.3093261,106.4906244,585,145,0
170,28,64,128,195.3164414,732,686.908019,331.0519561,712,352,1
117,89,16,64,138.0743222,958,703.224195,482.1093263,713,480,0
-11,-133,32,128,63.9764885,1087,674.0968199,336.1366897,680,321,0
-54,-160,96,256,347.4812384,809,737.1491668,107.7812707,767,123,1
-121,118,64,192,37.65308319,871,618.6720294,547.5955912,636,569,1
-120,-105,16,64,85.13093908,1062,517.814571,315.2571068,523,310,0
-128,-45,16,128,162.2293086,989,384.5535413,345.2826745,402,343,0
63,-178,96,64,275.6627507,777,659.8486245,85.10139885,698,94,1
178,-36,64,64,137.7047269,836,746.1476166,328.2568692,778,335,1
-80,-155,96,256,172.8495321,773,314.3636951,181.7937075,365,205,1
128,-107,96,256,225.4369309,833,570.3830941,53.08359154,616,115,1
-31,144,16,64,255.9260571,1527,577.3056934,401.4871137,585,423,0
-135,-83,16,128,187.2627021,1073,359.8961139,251.5272949,386,253,0
-160,8,96,128,338.6649167,701,513.9826166,287.9784694,572,341,1
-100,-96,16,128,262.6168879,964,516.3811262,135.4631782,516,153,0
187,-12,32,192,193.0197208,861,648.3724293,294.3955036,687,303,0
127,115,16,128,18.10434575,882,866.6834807,502.2054271,884,508,0
66,141,16,128,278.9063194,1157,720.8813153,346.9883396,721,371,0
-177,67,96,128,83.54960738,764,425.910358,475.50176,382,577,0
-166,-26,64,192,316.6756809,765,550.2010454,199.9497491,541,216,0
137,18,32,64,338.2627331,937,816.0961236,340.0330674,825,359,1
128,-12,64,64,213.1410206,962,685.1141354,282.7759844,715,302,1
-67,141,64,64,53.5371228,937,576.1086365,516.5109474,607,545,1
-51,-172,64,256,49.33333349,734,679.3045464,298.3595967,668,293,0
-143,119,64,128,329.3820547,873,560.6348507,390.4012699,592,430,1
100,131,96,192,251.5875319,696,649.5204131,315.3943687,692,388,1
-162,-45,32,128,191.4907461,973,340.2203149,274.2441252,373,294,1
-129,51,64,256,70.47163382,976,562.2370421,613.68484,591,615,1
-102,-79,16,64,117.61342,1035,499.2194043,331.8442758,505,326,0
-89,-109,96,128,274.0520842,742,509.8148192,106.8003248,556,139,1
108,-69,64,256,23.27933294,779,898.4479892,337.4965133,899,356,0
144,25,64,192,294.0825754,863,820.1138163,200.6053345,855,252,1
-164,4,16,128,326.4755483,1848,664.6899716,225.6930002,674,237,1
-100,136,64,192,58.90547949,795,585.805103,593.0068863,612,609,1
137,54,64,64,179.7035957,802,693.4745071,382.2665556,734,389,1
72,-136,96,256,256.2874446,792,615.7394791,-21.78424503,690,7,1
-99,157,32,64,127.9465712,973,486.6507863,550.1792144,507,561,1
131,27,96,192,178.5126357,557,618.5588424,341.7118394,691,375,1
-75,114,32,64,97.08152889,1061,540.5807515,525.7718888,548,537,1
-120,148,96,192,350.4371148,671,599.0136355,438.6018724,622,464,1
122,-60,64,192,244.7506832,800,663.6333289,127.2781728,705,161,1
82,97,64,256,85.09309881,882,709.2505251,649.2303027,742,680,1
81,-143,32,64,285.7820405,913,720.9365444,144.613991,744,162,1
-159,0,16,256,13.85107773,729,655.5031938,396.9996343,611,395,0
-113,115,32,192,256.5652435,1016,465.5426859,268.702299,483,308,0
-144,94,96,64,84.05995565,773,453.1800883,455.7863447,519,519,1
82,-101,16,192,72.30982089,759,758.0164872,389.0035468,773,362,0
-149,114,32,256,29.26903139,811,654.8280915,558.7870502,653,551,0
-37,127,96,192,13.85726374,636,672.2881964,467.9330695,720,524,1
-112,-85,16,256,359.3093354,1219,833.5029302,263.2207361,856,271,0
25,-144,96,128,165.0101793,716,528.2137706,191.7732928,594,209,1
-78,131,96,256,253.0919033,706,461.6649181,270.8324361,492,342,1
130,-86,16,192,267.4291829,982,753.5929911,78.75881563,767,97,0
-86,112,64,128,80.52446,702,536.6758643,527.9300903,587,544,1
-160,-62,64,64,240.695096,920,419.5216886,215.262422,453,239,1
75,122,96,128,345.3466372,901,777.5513358,405.0935585,823,449,1
153,-110,32,192,194.5011444,975,596.2611776,187.253911,632,203,0
176,-3,32,256,78.907411,867,842.0099547,555.2732292,845,541,0
-55,135,16,256,61.70237021,742,666.3092932,652.8817962,675,658,1
25,-183,16,64,108.7015519,978,636.9523421,228.2229719,637,222,0
-147,76,96,256,352.5971814,639,606.8526467,366.9709149,612,416,1
154,73,64,128,278.3252193,900,778.5486827,287.9113974,814,322,1
35,171,32,192,266.4601843,685,650.8996374,384.0536529,663,411,1
89,134,64,256,101.7734482,703,660.1654054,638.7263519,686,647,1
-93,104,64,256,110.4185018,655,456.2983821,589.6880181,469,602,1
-149,88,96,192,20.33233306,643,558.3264814,442.7345625,612,493,1
127,-45,32,256,122.6372555,721,653.56477,451.1371839,677,449,0
171,-47,64,64,82.8781482,907,786.1792068,338.4594394,818,374,1
128,77,16,256,195.2103382,605,611.4802456,388.619298,651,391,0
-123,119,96,128,270.6572525,766,470.1303621,332.4653634,544,367,1
95,101,64,64,350.8883492,1580,803.2800956,412.9168158,812,444,1
-21,-167,96,256,112.1749882,633,510.632362,293.1111689,575,295,0
-159,41,32,256,320.5190006,828,625.9155209,252.4410818,625,279,0
-125,117,96,256,226.6000647,865,315.3084436,268.5903139,388,341,1
-185,33,16,256,113.3880697,780,367.7510343,568.2382253,322,581,0
-150,-12,32,256,140.329261,805,315.7781363,463.2218808,362,456,0
-153,-54,32,128,322.8089223,963,569.7799149,215.0462056,562,234,0
-113,62,32,128,128.9806738,957,433.7799292,501.4246408,458,506,1
