StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
188,19,16,64,210.7241902,1031,763.1043724,337.1853504,780,352,0
70,145,16,192,116.5839131,892,625.8535822,649.1675804,651,628,0
79,110,16,192,129.1124249,699,627.2750275,564.9779208,655,556,0
-175,-14,96,128,255.3466772,882,388.471758,188.8947594,447,268,1
-90,-123,16,128,6.427967216,861,650.4772643,241.2212938,643,255,0
114,-64,96,256,73.32396445,574,747.9974238,388.1977231,774,402,1
4,-185,96,256,321.0774435,732,742.6423775,8.579169139,762,98,0
-152,69,16,192,84.69839649,717,492.4589283,555.2623157,500,540,0
50,170,64,192,19.54704043,752,792.5254417,545.7622904,792,541,0
57,120,64,192,142.1070496,737,553.8185809,534.5304054,613,550,1
-182,28,64,192,131.4733674,811,324.948515,470.3249627,388,490,0
81,101,16,128,282.1388974,1393,750.6864785,277.7887159,744,315,0
-154,12,32,192,233.7782384,800,378.9529416,231.6990565,410,286,0
-147,-100,64,256,320.3031416,793,615.3925708,99.83511796,610,168,0
149,-4,32,256,47.82508176,950,936.3051168,520.258965,936,512,0
129,-29,32,192,278.8550944,950,780.9369148,135.6792106,794,182,0
140,72,16,128,31.72356445,1886,977.0513094,550.7588008,982,543,0
140,17,64,256,342.634746,918,971.7140787,275.0412201,957,317,0
-136,-86,64,192,221.0175628,914,339.8808295,127.0794372,395,176,1
-121,121,16,64,17.43085413,1038,574.266787,492.864031,571,497,0
177,-16,96,192,64.91885665,784,832.7308427,432.1674233,881,459,1
-146,33,64,192,122.2093152,791,381.172805,489.3051413,426,495,1
-142,-113,96,256,253.7722874,836,390.0327641,-7.036560262,444,91,0
168,19,16,64,47.97343424,948,840.4818418,415.9177401,847,425,1
-104,102,32,256,42.21923541,836,680.5980706,591.7197133,676,571,0
-83,114,32,128,88.88536986,765,542.9066144,555.9941002,563,557,1
-3,-175,16,128,238.3105019,997,561.6398628,67.88991538,580,97,0
148,-87,32,256,258.7347115,871,728.3245289,37.7343709,747,98,0
141,-93,32,64,359.9194387,757,812.8815399,250.9326756,825,267,1
-29,-132,96,192,215.0286572,890,422.5189325,81.52934787,493,151,1
53,-171,32,192,167.7818675,1019,484.9603856,214.5840549,523,228,0
-148,4,16,192,208.9724476,990,317.5861106,263.8598606,358,287,0
-66,130,16,64,105.9652848,829,551.3512037,533.2034928,566,531,0
115,63,96,192,113.5963454,835,642.1485756,523.4648573,690,540,1
58,176,64,128,286.365916,1672,726.0838028,299.4034739,740,344,1
36,-129,16,256,233.1885241,858,538.3117094,49.71445458,560,90,0
94,132,64,256,69.28951557,780,771.5843808,644.0478597,783,617,0
-164,35,96,128,242.8754495,780,382.1460043,257.4880351,434,320,1
109,-91,96,128,227.6217743,652,644.7915767,159.3969225,698,214,1
-154,-12,16,64,157.0874763,916,424.3829473,362.6625418,436,365,1
-135,-98,16,256,81.01240026,880,531.8450288,474.3114404,537,441,0
130,-30,16,128,3.796740791,1265,925.3711974,332.8417688,915,335,0
-104,119,96,192,257.8558571,783,456.4630489,284.4442525,519,365,1
-164,-61,96,192,317.963677,777,540.7350575,149.3634133,577,233,1
-35,124,16,256,348.6281439,815,802.9445969,434.5795483,772,448,0
153,-53,16,256,38.35856384,625,912.5753871,399.9648706,882,388,0
168,12,96,128,178.0946941,756,664.3128987,327.183139,724,381,1
-83,135,16,192,163.5047119,918,380.1696398,536.994729,420,542,0
164,-53,96,192,109.8304869,708,709.7048855,387.3752606,777,417,1
77,-171,64,64,195.5375526,790,636.2094687,143.4347443,667,185,1
134,30,96,128,133.1412694,630,670.0084032,401.7476064,706,423,1
-73,-114,32,64,288.5128889,908,569.4391295,174.9324216,586,200,1
-186,-19,32,192,164.6469961,943,263.3621687,372.9491954,308,383,0
-123,-85,32,64,232.9685113,949,464.0096921,209.9682923,483,231,1
84,162,16,64,353.0650017,923,775.0769016,506.814292,776,514,1
112,63,96,128,148.689007,797,617.8481634,427.4037803,679,473,1
138,-24,96,192,163.5201027,880,568.4099546,335.8034887,652,376,1
-137,70,64,128,0.543706566,801,571.7711042,398.956293,592,432,1
53,-123,32,192,53.4288266,733,760.0791824,332.9838763,760,336,0
-157,85,64,64,351.0445537,874,505.6321281,404.3906637,538,431,1
175,-52,32,192,240.6504686,841,720.9357737,153.1725336,742,200,0
-126,-33,64,128,137.8185897,801,406.2319506,363.6574902,456,387,1
81,-115,16,256,183.262698,929,475.2401462,223.4461538,519,237,0
160,30,96,192,149.8332166,713,633.8925333,410.6485525,706,426,1
-117,-64,16,256,330.4582478,832,702.5920975,181.6849647,678,213,0
-56,117,64,128,331.9124163,726,633.0115722,401.7664071,661,435,1
