StartX,StartY,TargetWidth,Velocity,DirectionAngle,Duration,RectLeft,RectTop,tMouse_X,Mouse_Y,IfClick
-184,20,96,128,139.2526252,708,339.881208,390.6894682,422,437,1
-100,-115,64,192,179.9683701,703,372.5179278,213.0747922,427,244,1
-84,166,96,64,342.2160838,598,544.1832623,466.3940286,595,517,1
-129,-79,32,192,55.52527218,648,565.15626,367.17451,565,367,0
-5,161,96,256,257.4102414,613,553.4382738,322.727301,621,410,1
-138,-90,32,192,126.5499146,794,393.7607962,378.4272818,430,367,0
107,114,64,192,347.6255249,825,871.0617024,407.7604877,872,431,0
-108,123,32,128,224.3337067,672,454.9827369,407.3856269,480,427,1
176,25,32,256,130.0329426,1089,622.8235478,579.9042917,659,576,0
154,-15,32,64,335.6926305,703,819.3145876,310.3393507,826,331,1
-36,137,32,192,175.1346367,841,427.8277078,494.6340746,475,507,0
117,52,96,64,53.99122531,806,739.3386027,405.7440588,778,454,1
126,79,96,256,84.21827102,751,737.4308081,582.901395,782,578,0
-176,71,96,256,204.5022158,868,216.5863613,292.1126553,297,355,1
145,31,16,64,92.07173728,1409,773.7662852,472.3923463,777,475,1
-89,102,96,256,263.1856572,628,483.9423179,254.5170543,531,335,1
-129,-93,64,192,79.18197717,715,505.0494604,371.3230673,537,382,1
-168,-45,32,64,6.219655967,912,513.8065914,305.2998714,521,315,1
-15,-151,32,256,157.3283675,829,416.1746342,273.5484464,450,279,0
-165,90,32,256,41.83265785,788,607.0771626,566.5482158,610,560,0
-153,-102,16,256,72.53828978,744,536.7869977,433.7049262,545,417,0
-57,-154,96,64,253.6527861,757,521.5640083,112.1926482,577,169,1
-94,-136,16,64,89.77045307,905,538.2333502,274.2447678,547,276,1
130,-104,32,128,226.9107149,724,691.2595678,172.9289752,709,204,1
-127,38,16,256,176.3026906,817,297.4452604,403.4121754,337,405,0
80,108,32,256,271.8940861,773,710.4836328,255.9426723,723,310,0
54,-121,64,64,245.742023,675,644.1010832,167.280646,680,204,1
-155,-110,32,128,274.7710119,858,478.0166987,125.9675371,493,162,0
53,-154,64,64,68.83592251,657,676.1016027,213.0067755,700,245,1
159,-84,64,256,321.3530174,627,891.5348123,144.4178604,896,199,0
-130,57,64,64,270.7006152,689,478.542186,340.6626558,506,375,1
114,58,16,64,226.9953521,1262,691.4965542,351.5617152,701,365,1
170,3,96,64,245.6671404,690,743.9107798,274.9980023,794,316,1
-98,128,32,64,13.34972509,655,566.6177666,481.6388614,580,503,1
-84,-123,16,128,22.95206505,811,643.8206633,269.5788821,636,273,0
142,127,32,64,119.828392,632,745.9569432,505.9569714,764,524,1
-153,25,64,192,176.729482,731,315.1639107,360.9907072,380,390,0
131,-41,16,64,123.5203032,638,740.3500794,345.1939644,750,348,1
52,-177,32,192,130.8374249,745,582.5280531,275.1454016,611,276,0
29,186,32,128,199.6968079,730,563.2084188,497.8556032,589,517,1
65,-158,16,128,279.1856557,774,713.0795653,94.5640381,717,115,0
-5,134,96,256,89.09824104,682,589.7976742,623.7433853,637,602,0
-145,-44,96,192,153.5257398,763,318.3539817,332.0683948,407,368,1
-108,-105,96,256,60.39238452,599,559.4167713,339.7164499,604,355,1
160,103,64,256,40.19331617,718,906.4897675,548.0052373,895,546,0
82,-117,96,128,167.0543054,698,588.0593705,214.7551797,641,261,1
-3,-138,32,192,91.66327708,674,617.3119621,333.0080906,637,328,0
-31,147,64,192,20.70720027,648,691.2950856,518.2049288,714,537,1
-102,110,64,64,343.5806444,653,545.432495,426.3799092,586,454,1
-121,115,16,256,250.518369,4294965574,-5000,-5000,699,352,0
117,68,96,192,163.1936951,641,590.4620464,415.8029517,660,475,1
-146,-95,64,256,226.6411633,822,318.2306437,80.74921063,370,146,0
169,19,32,192,56.48789671,742,871.8430051,482.0641323,876,489,1
122,92,16,192,343.2114449,937,926.9117361,391.8325545,923,402,0
-124,65,96,192,198.4335868,684,343.0378569,335.3492529,411,383,1
-130,74,96,64,17.74018592,708,504.4456732,399.5789521,574,440,1
39,156,16,64,189.1340498,939,611.2570705,498.3943146,627,503,0
-162,62,64,128,161.8573603,737,357.6820829,418.9395108,399,453,1
-87,-95,16,128,204.278786,998,428.9118539,204.6359284,448,224,0
33,-145,16,256,30.29391335,733,825.1795032,300.5785189,801,303,0
120,106,64,192,316.5535271,702,826.275505,340.9143639,849,379,1
-148,-76,16,64,29.92099091,971,537.6413412,306.8712948,539,314,1
-89,98,16,128,327.7628963,718,619.7046389,401.6271118,613,418,0
163,29,16,256,211.2336332,959,586.3129721,254.4471516,627,278,0
-113,-110,64,128,90.67407202,731,493.9028646,311.2516453,517,327,1
53,-116,16,192,45.61631147,646,770.8203332,323.6867628,761,323,0
125,-44,96,128,359.4234481,619,795.894847,267.2060758,824,326,1
77,160,64,128,343.5036555,648,762.7665794,464.9698865,802,481,1
-16,175,32,128,118.4754821,697,564.7369585,598.7619858,593,599,0
144,77,16,128,238.4955336,1293,690.0092338,288.7003737,708,315,0
110,-79,32,64,236.1231814,700,709.6472948,228.727659,724,246,1
-161,-103,64,256,186.0331904,833,231.7361523,202.2487743,302,253,0
91,-155,64,192,69.61149113,620,740.6970437,285.1888359,769,311,1
-87,-133,16,256,66.44743986,761,621.8727696,395.352686,621,369,0
81,126,16,64,125.304976,867,681.2211264,522.8746484,687,528,1
136,-119,16,64,133.0591985,900,729.2756207,274.4408865,739,279,1
-128,97,64,256,358.8671233,591,631.8855438,421.9964624,622,453,0
-58,-179,64,64,72.6049467,764,564.5536109,195.4546835,598,225,1
138,58,96,128,346.4124589,845,836.681766,344.2155188,883,387,1
-22,140,96,256,59.22129669,655,655.4016409,595.3837328,674,620,1
-65,-178,64,128,271.5925495,844,545.9875463,42.54355125,577,70,1
-128,-3,16,256,304.9474967,1000,648.9125122,141.6393218,640,153,0
-168,48,96,128,164.3447574,760,330.1885765,386.2901471,390,424,1
-18,158,96,192,312.0667612,613,650.9558553,384.7318777,695,437,1
34,129,32,128,28.55925284,756,742.6015058,519.0482172,749,530,1
-149,-22,64,256,56.16384043,639,550.4492991,442.4190116,576,466,1
102,-118,96,192,355.2822423,752,837.3328446,182.1711704,858,232,1
109,119,32,256,30.52940392,909,933.2527979,581.0963814,923,572,0
128,-114,96,192,269.1214402,686,718.014716,68.53871563,764,147,1
132,-26,96,64,167.4770768,756,677.4808793,296.3325688,718,340,1
-112,-77,32,256,99.08669001,722,483.1056793,447.6620008,507,436,0
55,-150,64,256,326.2898328,685,808.7789522,80.7401456,809,124,0
34,152,32,64,134.6183019,915,617.1666614,537.3810498,642,547,1
87,-162,64,64,241.6142629,719,673.2826042,125.8106075,706,155,1
-130,-30,32,192,326.995262,775,617.620482,233.7053857,612,261,0
122,-52,32,256,359.7698707,675,916.1885792,291.3164314,903,316,0
-123,-78,16,256,9.792385534,843,723.705486,311.0566926,705,318,0
59,-149,96,256,101.2563259,694,616.2398017,337.6505394,678,361,1
-48,-139,16,128,340.6433718,851,686.5226061,176.9832999,683,190,0
89,169,32,128,258.6537901,752,694.1173238,418.8964877,717,455,0
154,-41,64,256,11.27811023,625,918.0619667,318.122259,905,348,0
71,-125,96,192,281.2051861,722,689.3855058,53.80673349,736,130,1
125,-100,16,64,111.1081498,756,739.5285767,297.2590828,747,304,1
